epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,34.7167,0.73023,8.1671,0.66663,1.19619,1.02498,0.66057,0.97398,0.89529,0.64716,0,0,0,0,0.88091,7.72916,0.62481,1.71171,1.14753,0.00053225,0.00053225,0.00053225
31,35.7996,0.78646,7.74119,0.66699,1.20336,0.98896,0.78722,0.98392,0.915,0.67023,0,0,0,0,0.81242,7.49707,0.62008,1.50202,1.12563,0.0005075,0.0005075,0.0005075
32,36.8438,0.85136,7.77876,0.66185,1.24088,1.08894,0.78722,0.98392,0.915,0.67023,0,0,0,0,0.81242,7.49707,0.62008,1.50202,1.12563,0.00048275,0.00048275,0.00048275
33,38.0459,0.7404,7.98393,0.65846,1.09747,0.99363,0.90372,0.9833,0.94,0.69832,0,0,0,0,0.81833,7.27502,0.61845,1.2418,1.13497,0.000458,0.000458,0.000458
34,39.126,0.78091,8.14127,0.65125,1.17581,1.04809,0.90372,0.9833,0.94,0.69832,0,0,0,0,0.81833,7.27502,0.61845,1.2418,1.13497,0.00043325,0.00043325,0.00043325
35,40.3128,0.66973,7.61061,0.64792,1.03888,0.98847,0.87828,0.98088,0.94,0.68939,0,0,0,0,0.87491,7.21389,0.61753,1.13676,1.1599,0.0004085,0.0004085,0.0004085
36,41.4293,0.74877,7.70564,0.63771,1.1537,1.00176,0.77482,0.94221,0.87711,0.62272,0,0,0,0,0.8801,7.15138,0.61741,1.19597,1.15816,0.00038375,0.00038375,0.00038375
37,42.5228,0.72822,7.62906,0.63968,1.10702,1.00246,0.77482,0.94221,0.87711,0.62272,0,0,0,0,0.8801,7.15138,0.61741,1.19597,1.15816,0.000359,0.000359,0.000359
38,43.6216,0.73958,7.43841,0.64936,1.1027,0.99001,0.7015,0.94896,0.86233,0.61238,0,0,0,0,0.86475,7.11727,0.62095,1.4101,1.14522,0.00033425,0.00033425,0.00033425
39,44.7717,0.73587,7.40552,0.64477,1.15131,1.02047,0.69948,0.91189,0.86233,0.65,0,0,0,0,0.79532,7.09119,0.61812,1.46261,1.11763,0.0003095,0.0003095,0.0003095
40,45.8174,0.65356,7.47016,0.6444,1.05212,0.99815,0.69948,0.91189,0.86233,0.65,0,0,0,0,0.79532,7.09119,0.61812,1.46261,1.11763,0.00028475,0.00028475,0.00028475
41,73.5778,0.59552,7.10252,0.57878,1.1451,0.97052,0.66446,0.92681,0.85122,0.67546,0,0,0,0,0.76201,7.07466,0.61369,1.30825,1.09522,0.00026,0.00026,0.00026
42,74.6887,0.62031,6.87074,0.56982,1.05398,0.90609,0.66446,0.92681,0.85122,0.67546,0,0,0,0,0.76201,7.07466,0.61369,1.30825,1.09522,0.00023525,0.00023525,0.00023525
43,75.8382,0.61238,7.11721,0.57053,1.09762,0.98259,0.70146,0.88117,0.92889,0.75235,0,0,0,0,0.75171,7.14016,0.61127,1.20811,1.08854,0.0002105,0.0002105,0.0002105
44,76.9421,0.54434,6.98055,0.56857,0.98155,0.93371,0.72116,0.8611,0.92889,0.72082,0,0,0,0,0.7625,7.10961,0.60656,1.22286,1.08983,0.00018575,0.00018575,0.00018575
45,78.0149,0.55914,6.93126,0.56764,1.03246,0.92688,0.72116,0.8611,0.92889,0.72082,0,0,0,0,0.7625,7.10961,0.60656,1.22286,1.08983,0.000161,0.000161,0.000161
46,79.1133,0.52175,6.91495,0.56585,1.0626,0.93667,0.67743,0.91486,0.94,0.7283,0,0,0,0,0.77358,7.02632,0.60456,1.31259,1.10164,0.00013625,0.00013625,0.00013625
47,80.2299,0.54807,6.82258,0.5681,1.10144,0.95861,0.63614,0.83333,0.77711,0.60815,0,0,0,0,0.77113,7.01014,0.6036,1.44878,1.10805,0.0001115,0.0001115,0.0001115
48,81.3446,0.60167,6.88049,0.56966,0.99722,0.94197,0.63614,0.83333,0.77711,0.60815,0,0,0,0,0.77113,7.01014,0.6036,1.44878,1.10805,8.675e-05,8.675e-05,8.675e-05
49,82.4437,0.56294,7.08691,0.55787,1.01676,0.94484,0.5796,0.83333,0.73733,0.57488,0,0,0,0,0.76798,7.01441,0.60528,1.5364,1.11185,6.2e-05,6.2e-05,6.2e-05
50,83.5546,0.59881,6.85831,0.56194,1.01772,0.9569,0.5796,0.83333,0.73733,0.57488,0,0,0,0,0.76798,7.01441,0.60528,1.5364,1.11185,3.725e-05,3.725e-05,3.725e-05
