epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,677.853,0.85561,7.80755,0.63878,1.61783,1.27038,0.33906,0.78301,0.57357,0.22523,0,0,0,0,2.14516,7.83854,0.67612,2.31055,2.72581,0.000793101,0.000793101,0.000793101
31,699.224,0.98749,7.94397,0.63646,1.77497,1.36008,0.36544,0.77881,0.51969,0.21346,0,0,0,0,2.23316,8.23546,0.65429,1.91333,2.71563,0.00080845,0.00080845,0.00080845
32,720.264,0.98185,7.69027,0.61841,1.68715,1.36583,0.36575,0.44444,0.54386,0.23881,0,0,0,0,2.25677,8.74933,0.64383,1.97248,2.59438,0.000823056,0.000823056,0.000823056
33,740.626,0.94695,7.82624,0.62027,1.58997,1.2815,0.36575,0.44444,0.54386,0.23881,0,0,0,0,2.25677,8.74933,0.64383,1.97248,2.59438,0.00083692,0.00083692,0.00083692
34,761.88,0.85409,7.68745,0.62306,1.375,1.25016,0.28681,0.48304,0.58205,0.17769,0,0,0,0,2.42982,8.69024,0.63479,2.53955,2.52394,0.000841625,0.000841625,0.000841625
35,783.929,0.9347,7.50659,0.63012,1.60593,1.31606,0.73942,0.44444,0.60677,0.1973,0,0,0,0,2.17217,8.10789,0.632,2.44274,2.35156,0.00082925,0.00082925,0.00082925
36,812.204,0.86215,7.56802,0.59995,1.40905,1.21053,0.79954,0.66109,0.741,0.33658,0,0,0,0,1.77754,7.39711,0.64943,1.58821,2.09774,0.000816875,0.000816875,0.000816875
37,836.251,0.86258,7.64661,0.61785,1.5679,1.225,0.79954,0.66109,0.741,0.33658,0,0,0,0,1.77754,7.39711,0.64943,1.58821,2.09774,0.0008045,0.0008045,0.0008045
38,861.447,0.86963,7.69292,0.60585,1.47032,1.33099,0.8534,0.66667,0.8125,0.48681,0.73581,0.06667,0.02185,0.00219,1.49944,7.33791,0.63971,1.23427,1.91776,0.000792125,0.000792125,0.000792125
39,884.412,0.86824,7.43528,0.60541,1.3985,1.24688,0.88162,0.66667,0.79345,0.49858,0,0,0,0,1.52905,7.37601,0.60991,1.23855,1.97087,0.00077975,0.00077975,0.00077975
40,906.33,0.85705,7.02715,0.59926,1.38305,1.23504,0.68744,0.83333,0.82875,0.44724,0,0,0,0,1.70346,7.2193,0.58779,1.31986,2.06013,0.000767375,0.000767375,0.000767375
41,928.335,0.9018,7.20899,0.56435,1.44892,1.31702,0.68744,0.83333,0.82875,0.44724,0,0,0,0,1.70346,7.2193,0.58779,1.31986,2.06013,0.000755,0.000755,0.000755
42,950.04,0.75682,7.13634,0.5793,1.36329,1.20284,0.63114,0.83333,0.82875,0.4222,0,0,0,0,1.80406,7.11445,0.57817,1.33846,2.1082,0.000742625,0.000742625,0.000742625
43,971.01,0.77017,6.86384,0.58985,1.29138,1.20176,0.63778,0.83333,0.72917,0.35348,0.3968,0.06667,0.0131,0.00131,1.90267,6.93849,0.57559,1.43749,2.19091,0.00073025,0.00073025,0.00073025
44,992.321,0.76567,7.25264,0.5617,1.24255,1.19639,0.60362,0.83333,0.77711,0.36342,0.72205,0.06667,0.01308,0.00131,2.02501,6.85643,0.57165,1.63034,2.26065,0.000717875,0.000717875,0.000717875
45,1014.54,0.8221,7.22154,0.59276,1.40103,1.31069,0.60362,0.83333,0.77711,0.36342,0.72205,0.06667,0.01308,0.00131,2.02501,6.85643,0.57165,1.63034,2.26065,0.0007055,0.0007055,0.0007055
46,1036.75,0.89086,6.90397,0.57278,1.45462,1.27731,0.68678,0.83333,0.93944,0.36445,0.74602,0.06667,0.02174,0.00217,1.9933,6.68954,0.58014,1.61509,2.34399,0.000693125,0.000693125,0.000693125
47,1058.51,0.75948,7.07505,0.5736,1.36676,1.19183,0.6533,0.83333,0.85144,0.33506,0,0,0,0,1.99589,6.72042,0.56845,1.79695,2.4147,0.00068075,0.00068075,0.00068075
48,1079.39,0.8489,6.81674,0.5584,1.31594,1.22962,0.57679,0.59021,0.67821,0.23322,0.73095,0.06667,0.0131,0.00262,2.58556,6.6439,0.56966,1.76877,2.76517,0.000668375,0.000668375,0.000668375
49,1099.95,0.91444,7.07696,0.57994,1.46398,1.28527,0.57679,0.59021,0.67821,0.23322,0.73095,0.06667,0.0131,0.00262,2.58556,6.6439,0.56966,1.76877,2.76517,0.000656,0.000656,0.000656
50,1120.35,0.81959,6.81533,0.53671,1.29639,1.19783,0.54473,0.44444,0.58464,0.17375,0.72874,0.06667,0.01312,0.00262,2.74211,6.5969,0.57726,1.98244,2.7636,0.000643625,0.000643625,0.000643625
51,1141.24,0.76741,7.01852,0.56283,1.34246,1.21678,0.54762,0.48889,0.57275,0.15662,0.77499,0.13333,0.05288,0.01058,2.79314,6.55657,0.57585,1.69624,2.79242,0.00063125,0.00063125,0.00063125
52,1161.5,0.88162,6.80451,0.55013,1.28423,1.23926,0.61586,0.83333,0.75122,0.21158,0.45881,0.13333,0.05291,0.00661,2.55304,6.40573,0.56758,1.40959,2.70606,0.000618875,0.000618875,0.000618875
53,1183.6,0.71971,6.32041,0.53086,1.10873,1.12944,0.61586,0.83333,0.75122,0.21158,0.45881,0.13333,0.05291,0.00661,2.55304,6.40573,0.56758,1.40959,2.70606,0.0006065,0.0006065,0.0006065
54,1205.6,0.74068,6.72606,0.54078,1.14618,1.12223,0.66429,0.75234,0.74695,0.22879,0,0,0,0,2.39666,6.32174,0.55922,1.45569,2.60409,0.000594125,0.000594125,0.000594125
55,1225.99,0.73717,6.57893,0.53311,1.21125,1.16906,0.49345,0.73055,0.64889,0.22874,0.73141,0.06667,0.01321,0.00132,2.33091,6.21983,0.56203,1.80536,2.6537,0.00058175,0.00058175,0.00058175
56,1246.59,0.8333,6.44757,0.54849,1.42772,1.32449,0.36581,0.67822,0.65417,0.29443,0,0,0,0,1.9172,6.21468,0.56248,2.11136,2.33052,0.000569375,0.000569375,0.000569375
57,1265.98,0.7811,6.84734,0.54158,1.23375,1.14388,0.36581,0.67822,0.65417,0.29443,0,0,0,0,1.9172,6.21468,0.56248,2.11136,2.33052,0.000557,0.000557,0.000557
58,1286.35,0.7449,6.72675,0.52114,1.16569,1.21696,0.534,0.61111,0.67406,0.35074,0.03418,0.13333,0.0167,0.00167,1.64556,6.17988,0.5672,1.89733,2.20616,0.000544625,0.000544625,0.000544625
59,1307.48,0.75438,6.40869,0.53862,1.0802,1.15791,0.64212,0.61111,0.64745,0.38085,0,0,0,0,1.57325,5.96202,0.56109,1.65094,2.16176,0.00053225,0.00053225,0.00053225
60,1328.52,0.75585,6.36629,0.50845,1.19048,1.15763,0.56853,0.66855,0.67761,0.4091,0,0,0,0,1.53759,5.78741,0.56104,1.6434,2.16948,0.000519875,0.000519875,0.000519875
61,1349.96,0.75361,6.36816,0.53217,1.13682,1.18381,0.56853,0.66855,0.67761,0.4091,0,0,0,0,1.53759,5.78741,0.56104,1.6434,2.16948,0.0005075,0.0005075,0.0005075
62,1370.94,0.74768,6.44615,0.52846,1.18209,1.22758,0.40706,0.72222,0.69168,0.42332,0,0,0,0,1.5768,5.66825,0.55918,1.68132,2.18129,0.000495125,0.000495125,0.000495125
63,1392.51,0.77602,6.50393,0.55856,1.11056,1.15305,0.78905,0.44444,0.75122,0.36533,0.82074,0.13333,0.09857,0.00986,1.76197,5.61948,0.5474,1.83513,2.24836,0.00048275,0.00048275,0.00048275
